Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1146 Tysvær;1146;Tysvær;1067;876;191;65;126;15,7;14,2;30,9;18;48,8
1149 Karmøy;1149;Karmøy;5432;4526;906;464;442;19,9;18,5;31,6;26,5;39,6
1151 Utsira;1151;Utsira;14; : ; : ; : ; : ;10,1; : ; : ; : ; : 
1160 Vindafjord;1160;Vindafjord;849;613;236;164;72;15,2;12,9;27,9;24,4;41,4
1201 Bergen;1201;Bergen;30983;22088;8895;3543;5352;16,6;14,2;28;22,3;33,6
1211 Etne;1211;Etne;361;290;71;45;26;14,1;13,1;21,1;15,7;52
1216 Sveio;1216;Sveio;598;492;106;55;51;17;15,6;29,4;22,4;44,3
1219 Bømlo;1219;Bømlo;1216;975;241;90;151;16,1;14,6;28,3;18,5;41,1
1221 Stord;1221;Stord;1905;1475;430;222;208;15,7;13,8;29,4;27,7;31,4
1222 Fitjar;1222;Fitjar;316;282;34;24;10;16,1;15,6;23,1;20,7;32,3
1223 Tysnes;1223;Tysnes;295;255;40;31;9;17,3;16,6;24,1;23,7;25,7
1224 Kvinnherad;1224;Kvinnherad;1473;1279;194;101;93;17,7;16,8;27,9;25;31,8
1227 Jondal;1227;Jondal;131;117;14;10;4;19,2;18,7;24,6;23,8;26,7
1228 Odda;1228;Odda;807;680;127;40;87;18;17,1;25,6;15,2;37,3
1231 Ullensvang;1231;Ullensvang;288;217;71;20;51;13,9;11,8;28,9;15,3;44,3
1232 Eidfjord;1232;Eidfjord;76;57;19;11;8;12,2;10,3;27,1;21,6;42,1
1233 Ulvik;1233;Ulvik;95;74;21;13;8;14,3;13,1;21,6;17,8;33,3
1234 Granvin;1234;Granvin;89;78;11; : ; : ;14,9;14,2;22,9; : ; : 
1235 Voss;1235;Voss;1271;1034;237;83;154;14,2;12,6;31,5;19,8;46,4
1238 Kvam;1238;Kvam;894;687;207;111;96;16,5;14,5;29,6;25,7;36
1241 Fusa;1241;Fusa;335;288;47;33;14;14,1;13,2;23,5;21,7;29,2
1242 Samnanger;1242;Samnanger;305;268;37;15;22;19,3;18,4;29,6;21,7;39,3
1243 Os (Hord.);1243;Os (Hord.);1944;1541;403;248;155;15,9;14,4;26,8;23,5;34,6
