kommune;kommune_nr;kommune_navn;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle
;;;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1657 Skaun;1657;Skaun;5;16;34;24,2;4,3
1662 Klæbu;1662;Klæbu;5,3;25,4;33,3;27,9;4
1663 Malvik;1663;Malvik;4,7;20,4;26;22,4;3,6
1664 Selbu;1664;Selbu;6,6;25,5;:;23,9;6
1665 Tydal;1665;Tydal;7,5;:;:;:;6,5
1702 Steinkjer;1702;Steinkjer;8,3;30,1;47,9;40,7;6,9
1703 Namsos;1703;Namsos;7,4;11,9;49;34,8;5,9
1711 Meråker;1711;Meråker;12,2;21,3;53,4;38,7;10,2
1714 Stjørdal;1714;Stjørdal;6,6;18,3;37,5;30,7;5,4
1717 Frosta;1717;Frosta;9,4;57;:;51,1;6,9
1718 Leksvik;1718;Leksvik;6,6;:;:;:;6,6
1719 Levanger;1719;Levanger;7,8;19,2;44,2;32,3;6,5
1721 Verdal;1721;Verdal;8,2;18,9;52,5;36,7;6,9
1724 Verran;1724;Verran;11,4;31,9;38,7;34;10,3
1725 Namdalseid;1725;Namdalseid;9,2;:;:;28,8;8,5
1736 Snåsa;1736;Snåsa;8;:;:;:;7,8
1738 Lierne;1738;Lierne;9,5;:;:;:;9,4
1739 Røyrvik;1739;Røyrvik;6;:;:;:;5,4
1740 Namsskogan;1740;Namsskogan;8,5;52,4;:;44,4;7,4
1742 Grong;1742;Grong;9;22,6;69,6;50,8;6,4
1743 Høylandet;1743;Høylandet;7;:;:;:;6,6
1744 Overhalla;1744;Overhalla;6;19,3;60,6;31;5,2
1748 Fosnes;1748;Fosnes;12;35,5;:;34,2;10,4
1749 Flatanger;1749;Flatanger;9,1;45;:;43,4;7,2
1750 Vikna;1750;Vikna;5,9;21,3;27,4;23,5;4,8
1751 Nærøy;1751;Nærøy;7,7;26,7;30,6;28,2;6,8
1755 Leka;1755;Leka;10,3;:;:;:;10,3
1756 Inderøy (f.o.m. 2012);1756;Inderøy (f.o.m. 2012);6,3;26,2;32,9;28,6;5,6
1804 Bodø;1804;Bodø;5,8;15,1;27,1;22,2;4,8
1805 Narvik;1805;Narvik;6,5;16,7;35,1;26,4;5,1
